set_name,set_code,language,card_name,card_number,rarity,variant
Scarlet & Violet 151,sv151,EN,Bulbasaur,001/165,Common,normal
Scarlet & Violet 151,sv151,EN,Venusaur ex,003/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Charizard ex,006/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Blastoise ex,009/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Caterpie,010/165,Common,normal
Scarlet & Violet 151,sv151,EN,Butterfree ex,023/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Pikachu,083/165,Common,normal
Scarlet & Violet 151,sv151,EN,Raichu ex,055/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Mewtwo ex,205/165,Special Illustration Rare,normal
Scarlet & Violet 151,sv151,EN,Mew ex,193/165,Special Illustration Rare,normal
Scarlet & Violet 151,sv151,EN,Gengar ex,045/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Alakazam ex,065/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Gyarados ex,130/165,Double Rare,normal
Scarlet & Violet 151,sv151,EN,Eevee,133/165,Common,normal
Scarlet & Violet 151,sv151,EN,Snorlax,143/165,Rare,normal
